,Context,Response,Text,ID
20155,متخوف,مجرد التفكير بأفكار إيجابية,أشعر بتوتر شديد للعودة إلى فلوريدا. لا أعرف ما إذا كان لدي العديد من الخيارات إذا عدت أم لا.,20155
20156,متخوف,من الجيد أن يكون لديك إيمان,نعم ، نأمل أن يعمل هذا النوع من الأفكار الإيجابية. أنا أكثر دينًا ...,20156
20157,وحيد,حسنًا ، إذا كان هذا هو ما قررت فعله ، أعتقد أن لديك الوقت الكافي للتفكير في الأمر,أنا أعمل من المنزل وأحيانًا أجد أنه من الممل ألا أرى الآخرين.,20157
20158,وحيد,حسنًا ، أهم شيء هو أن يكون لديك مصدر يدفع الفواتير,ليس لدي خيار. إنها الوظيفة الوحيدة التي وجدتها.,20158
20159,فرح,إن التواصل مع الأشخاص الأكثر أهمية يجعلني متحمسًا للغاية,أنا سعيد للغاية لإعادة إحياء علاقتي مع والديّ,20159
20160,فرح,أوه أراهن أن ذلك سيكون ممتعًا,لا أستطيع الانتظار حتى نهاية هذا الأسبوع. أنا وبعض الأصدقاء نذهب للتخييم في عيد ميلادي. سوف يكون الكثير من المرح.,20160
20161,فرح,أتمنى أن تستمتع بعد ذلك,نعم لا أستطيع الانتظار. لقد كنت حقا أتطلع إلى ذلك.,20161
20162,فرح,لطيف جدا. يجب أن يكون الطقس مثاليًا.,إنني أتطلع إلى نهاية هذا الأسبوع. نحن ذاهبون إلى مباراة بيسبول,20162
20163,فرح,اشرب القليل من البيرة واحصل على نقانق من أجلي. يجب ان يكون ممتعا.,أتمنى ان تكون كذلك,20163
20164,مشمئز,مرحبًا ، على الأقل لم يفعلوا شيئًا سيئًا في العام الماضي,أشعر بالاشمئزاز عندما أشاهد الطريقة التي يدير بها رعاة البقر فريقهم ، فقد سمحوا للعديد من الأشرار باللعب واتخاذ القرارات,20164
20165,مشمئز,أنا معجب باتريوتس,لقد كانوا متواضعين في أحسن الأحوال وآمل أن يكونوا أسوأ هذا العام,20165
20166,مندهش,هل هذه صديقتك؟,أتخلى عن محاولة اكتشاف معظم النساء! أثني عليها وأعطيها اهتمامي الكامل وهي تبتعد. لكن في اللحظة التي أبدأ فيها بالانفصال والتحدث إلى سيدة أخرى تتشبث بها بشدة من أجل انتباهي ، فإن ذلك يدفعني للجنون.,20166
20167,مندهش,أوه قد تكون هذه هي القضية,انها عدة فتيات لول,20167
20168,حانق,أوه لا ، ما هذا الشيء الأحمق لفعله,"في اليوم التالي بعد العمل خرجت إلى سيارتي ورأيت أن أحدهم قد دمر مرآتي الجانبية! تركوا ملاحظة تقول ""ليس لدي خيار"" على الزجاج الأمامي. أنا غاضب جدا.",20168
20169,حانق,هذا لا معنى له حسنا,أنا أوافق. لا توجد كاميرات في مرآب السيارات الخاص بنا أيضًا ، لذا لا يمكنني حتى التقاط الرجل بطريقة ما.,20169
20170,الآن,آسف أنا آسف لسماع ذلك. آمل أن تكون قد ذهبت إلى منزل جيد.,كنت حزينًا عندما اضطررت إلى التخلي عن كلبي. كانت كلبة جيدة,20170
20171,الآن,من الجيد سماع ذلك. أنا متأكد من أنك تفتقدها كثيرًا.,فعلت ذلك بالتأكيد,20171
20172,تأثرت,ما هي الفرقة,أشعر بالرهبة من مشاهدة مسرحية الفرقة المفضلة لدي,20172
20173,تأثرت,هذا اسم رائع,بروليفي الفرقة,20173
20174,دمر,انا اسف لسماع ذلك.,عندما مات كلبي العام الماضي كنت حزينة للغاية. حدث ذلك بشكل عشوائي,20174
20175,دمر,أنا أصدق ذلك. هل حصلت على جرو جديد؟,نعم لم يكن الوقت المناسب,20175
20176,قلق,يا كرة القدم! ألا يبدأ الموسم هذا الأسبوع؟ زوجي يحب أجهزة شحن Los Angles لكنها ليست جيدة جدًا!,أنا قلق بشأن الموسم المقبل بالنسبة للنسور الذين يعرفون ما سيحدث,20176
20177,قلق,لطيف! أمل أن يتصرفوا بالشكل الصحيح!,يفعل النسور يلعبون الآن!,20177
20178,الثقة,من الجيد حقًا أن يكون لديك عائلة رائعة. هل يعيشون بالقرب من؟,أثق في عائلتي بحياتي فهم أول من أذهب إليهم,20178
20179,الثقة,هذا عظيم. إن وجود شبكة عائلية رائعة يجعل الحياة أفضل بكثير.,يفعلون نحن جميعا نعيش معا,20179
20180,مخلص,يا للبقرة المقدسة كم كان عمرك عندما تزوجت؟,لقد احتفلت للتو بالذكرى الخمسين لزواجي.,20180
20181,مخلص,جيد ، أنا سعيد أنه لا يزال هناك حب حقيقي هناك!,كان عمري 18 عامًا وكانت تبلغ 20 عامًا. كانت الأمور مختلفة كثيرًا في ذلك الوقت ، لكني أحب زوجتي أكثر مع مرور كل عام.,20181
20182,متضايق,هذا فظيع أليس لديهم ما يكفي من الفتح؟,لقد انزعجت في محل البقالة. كان خط الخروج بطيئًا جدًا,20182
20183,متضايق,لا شيء جيد يجعلهم يبدون سيئين للعملاء,لم يفعلوا,20183
20184,غاضب,أنا أكره المسؤولين الحكوميين من هذا القبيل,ذهبت إلى دار البلدية لتجديد رخصة القيادة. قدم الوكيل معلومات خاطئة. بسببه ضيعت ثلاثة أشهر.,20184
20185,غاضب,كثيرا كذلك,أنا أيضا. بعضهم يتقاضون رواتبهم مقابل عدم فعل أي شيء.,20185
20186,مندهش,هذا جميل. ماذا كانت الهدية؟,لقد حصل لي أخي على هدية جميلة. لقد صدمت بطريقة جيدة,20186
20187,مندهش,رائع. ماذا كانت تلعب الفرق؟,كانت تذاكر كرة القدم,20187
20188,فرح,لماذا هذا؟,أنا مستعد جدًا لعطلة نهاية الأسبوع.,20188
20189,فرح,يجب أن يكون ذلك وقتًا ممتعًا ، آمل أن تظل آمنًا!,أنا ذاهب إلى منزل الشاطئ لأصدقائي المقربين.,20189
20190,فخور,لقد ربحوا كل شيء إذا كنت أتذكر.,أنا فخور بالنسور لموسمهم العام الماضي ، لقد لعبوا جيدًا حقًا!,20190
20191,فخور,هل تعتقد أنهم فازوا بها مرة أخرى هذا العام,لقد فعلوا بالتأكيد يا لها من لعبة رائعة!,20191
20192,خائف,من هو كارسون وينتز؟ أعتقد أنه لاعب كرة قدم صحيح؟ ماذا حدث له: يا,أخشى أن كارسون وينتز لن يكون هو نفسه بعد أن كانت إصابته وحشية,20192
20193,خائف,يا رجل هذا مجنون من الصعب التعافي من إصابات الرباط الصليبي الأمامي! أتمنى أن يفوز النسور الليلة!,إنه Eagles QB الذي مزق دوري أبطال آسيا في العام الماضي,20193
20194,فرح,رأيت أنني لا أطيق الانتظار للعب!,أنا منغمس للغاية في لعبة Super Smash Bros الجديدة التي تبدو رائعة,20194
20195,فرح,نعم! لقد اندهشت من مدى روعة المظهر الذي لم أكن أتوقعه أن يكون على هذا النحو!,أنا ولا هم يفعلون هذه المباراة بشكل صحيح للجماهير التي أشعر بالسعادة فيها,20195
20196,غيور,ما نوع السيارة التي حصل عليها؟,حصل أخي على سيارة جديدة. أنا حسود قليلاً لما حصل عليه,20196
20197,غيور,أنا أحب BMW. ما هي السيارة النموذجية التي حصل عليها؟,كانت سيارة بي ام دبليو,20197
20198,قلق,أنا آسف أن لديك ظهر سيء,أتمنى أن تكون جراحة ظهري اليوم ليست في غضون شهر.,20198
20199,قلق,لقد حصلت على واحدة أيضًا ، هذا ليس شيئًا جيدًا,لقد كان ظهري سيئًا منذ أن كنت طفلة. إنه مرض وراثي.,20199
20200,مشمئز,أنا دائما أكره رؤية أي نوع من الحيوانات على جانب الطريق,كنت مريضا عندما رأيت حيوانا ميتا على الرصيف. جعلني أشعر بالأسى,20200
20201,مشمئز,الأسوأ هو رؤية شيء يشبه أحد حيواناتك الأليفة أيضًا. خشي دائمًا من الهروب في المنزل,نعم انا ايضا,20201
20202,ممتن,كيف كانت قذرة؟,صديقي نظف سيارتي من أجلي. كان لطيفا جدا منه,20202
20203,ممتن,أوه لماذا قاموا بتنظيفه من أجلك؟,هكتار الأوساخ الحقيقية,20203
20204,توقع,هذه الألعاب تبدو ممتعة,لا أستطيع الانتظار لأحدث لعبة بوكيمون تبدو رائعة بالنسبة لي!,20204
20205,توقع,هذه الألعاب تبدو ممتعة,لا أستطيع الانتظار لأحدث لعبة بوكيمون تبدو رائعة بالنسبة لي!,20205
20206,فخور,هل ستحصل على مكافأة مقابل ذلك؟,لقد أبليت بلاءً حسناً في العمل هذا الأسبوع. كنت سعيدا مع نفسي,20206
20207,فخور,حظا سعيدا مع أنك تستحق ذلك!,آمل ذلك,20207
20208,وحيد,أنا سعيد لأنك خرجت منها,قبل أن أقابل صديقتي وأصدقائي كنت وحيدًا جدًا ، كان ذلك وقتًا عصيبًا,20208
20209,وحيد,هذا صحيح جدا,أنا أيضًا أشكرك على الأشياء دائمًا تتحسن,20209
20210,مذعور,أنا أفهم. بعض الناس لا يحبون هذا النوع من الأفلام. أنا لست معجبًا أيضًا.,أنا خائف جدًا من أفلام الرعب ، فهي أكثر أنواع الأفلام المكروهة بالنسبة لي حتى الآن,20210
20211,مذعور,أنا أفهم,نعم ، إنهم ليسوا ممتعين لمشاهدتها في رأيي على الإطلاق,20211
20212,توقع,ما هي السيارة التي تريدها؟ انا في نفس القارب!,أنا أدخر المال لأتمكن من شراء سيارة جديدة. سيارتي الحالية تعاني من أعطال كثيرة في السيارة. أعتقد أنه يومًا ما سيتوقف عن العمل.,20212
20213,توقع,أنا أنظر إلى Ford Fiesta ، إنه أرخص قليلاً ويعمل بسلاسة,اريد شراء هوندا سيفيك 2018. وانت؟,20213
20214,فرح,لطيف! لقد التقطت للتو الجنون الجديد ، لذا سأستمر في اللعب طوال عطلة نهاية الأسبوع أيضًا,إنني أتطلع إلى نهاية هذا الأسبوع. سنلعب ألعاب الفيديو,20214
20215,فرح,من الجيد حقًا أنهم أصلحوا الكثير من الأشياء من العام الماضي لجعلها رائعة,يا رجل أريد أن ألعب ذلك أيضًا,20215
20216,غاضب,على الأقل حاولت أن تكون لطيفًا,كنت جالسًا في زحمة السير اليوم وأترك ​​شخصًا لم يلوح أو أي شيء غير مرغوب فيه يجعلني غاضبًا جدًا,20216
20217,غاضب,حسنا الان تعرف,نعم أعتقد أنه لا ينبغي أن يكون في هذا الوقت على الرغم من لول,20217
20218,فخور,أوه ، واو يجب أن تكون فخوراً! أرجو أن يكون قد أثنى عليك على عملك وأجر لك؟,لقد حللت العديد من المشاكل اليوم في العمل. كان مديري سعيدًا.,20218
20219,فخور,نعم يبدو أنك تستحق واحدًا! استمر في العمل الجاد وأظهر لهم أنك ربحت ذلك.,اريد ترقية. سنرى كيف ستسير الامور.,20219
20220,قلق,ما الذي كنت قلقًا بشأنه؟,لست متأكدا كيف سيكون مستقبلي. لقد كنت قلقة بشأن ذلك كثيرًا مؤخرًا.,20220
20221,قلق,أوه ، واو ، أنا آسف لسماع ذلك! آمل أن تبدأ الأشياء في الظهور بشكل أفضل بالنسبة لك. هل يمكنك تقديم طلب إعاقة أو ضمان اجتماعي؟,كل شيء تقريبا. أنا لست حيث أريد أن أكون. من الناحية المالية: أنا شخص فقير. لقد تدهورت صحتي حقًا هذا العام. إلى حد كبير كل شيء ليس جيدًا.,20221
20222,متضايق,أنا أفهم تماما. أتفاقم بشدة نفسي وأنا أقود المنزل من العمل كل ليلة.,كانت حركة المرور صعبة الليلة. كان مزعجا جدا,20222
20223,متضايق,يستغرق الأمر ما يقرب من ساعة للوصول إلى المنزل من خلال حركة المرور.,نعم أحاول ألا أكون صعبًا,20223
20224,خجلان,أوه لا كان فهم الشرطي,كنت أقوم بتعليم ابنتي القيادة اليوم عندما تم توقيفي من قبل رجال الشرطة.,20224
20225,خجلان,أوه لا هذا شيء لئيم يجب القيام به,ليس صحيحا. أعطاني مخالفة لتجاوز السرعة وتشغيل لافتة توقف أمام ابنتي!,20225
20226,المحتوى,من الجميل أن يكون لديك هذا الشعور,أنا سعيد جدًا بحياتي في الوقت الحالي ، ليس هناك الكثير لأشتكي منه حقًا,20226
20227,المحتوى,آمل أن تبقى على هذا النحو بالنسبة لك,نعم لقد كنت أطارده لفترة من الوقت سعيدًا جدًا به,20227
20228,مذنب,لماذا تخطته؟,لقد تخطيت الصالة الرياضية هذا الصباح. أشعر بالسوء حيال ذلك,20228
20229,مذنب,حسنًا ، جسمك يأتي بالصحة أولاً على التحسن,شعرت بقليل من المرض,20229
20230,ممتن,هذا لطيف جدا لسماع منذ متى وأنتم معا؟,أنا أقدر صديقتي فهي حلوة للغاية وتحاول قصارى جهدها,20230
20231,ممتن,لطيف! لقد كنت أنا وزوجتي معًا 9!,ما يقرب من 3 سنوات حتى الآن!,20231
20232,غيور,لماذا كنت بحاجة إلى الانتظار؟,كنت أرغب في لعب madden بشكل سيء للغاية واضطررت إلى الانتظار حتى اليوم حصل عليه جميع أصدقائي يوم الثلاثاء,20232
20233,غيور,أوه ، لا يمكنك تنزيله على أي حال؟,لقد نسيت أن أطلبه مسبقًا!,20233
20234,موثوق,أشعر أنه يجب عليك ذلك إذا كنت تعلم أنك تعمل بجد ، فاستمر في ذلك.,أشعر بثقة تامة بشأن طلب علاوة أعتقد أنني أستحقها كثيرًا,20234
20235,موثوق,ربما أذهب إلى قسم الموارد البشرية ، كان علي أن أفعل ذلك من أجل زيادة راتبي وتحدثوا إلى مشرفي ووافق.,أنا أخطط لذلك وآمل أن يتقبل مديري,20235
20236,موثوق,لماذا هذا؟,أشعر بثقة تامة بشأن طلب علاوة أعتقد أنني أستحقها كثيرًا,20236
20237,موثوق,يبدو أنك تستحق ذلك بعد ذلك,أقوم بالكثير من العمل وأؤدي زملائي في العمل,20237
20238,عاطفي,أنا أفهم أنني أشعر بنفس الطريقة في بعض الأحيان. إنه صعب لأنه في بعض الأحيان لا يمكنك المساعدة أو معرفة أن لديهم مشاكل جعلتهم بلا مأوى مثل الشرب.,شعرت بالسوء عندما رأيت رجلاً بلا مأوى في الشارع. لقد أردت أن أساعد,20238
20239,عاطفي,نعم في بعض الأحيان لا يقبلون عندما أقدم لهم الطعام. إنهم يريدون المال فقط لشراء البيرة. انه محزن جدا!,نعم هذه نقطة جيدة أيضًا,20239
20240,خائف,لماذا كنت تشعر بهذه الطريقة,في الأسبوع الماضي شعرت بالخوف الشديد,20240
20241,خائف,هذا مخيف جدا,عندما كنت ذاهبًا إلى المكتب ، توقفت عند المقهى لأحضر قهوة صغيرة. هناك رأيت شابًا يراقبني بغضب. حتى أنه يحمل بندقية في يديه.,20241
20242,المحتوى,أوه ما هذا؟ حفلة؟,ذهبت إلى منزل الأصدقاء الليلة. لا يوجد شئ خاص ولكنه كان لطيفا,20242
20243,المحتوى,رائع. إنه شعور جميل ومريح دائمًا أن تكون مع أصدقائك.,فقط للراحة حقا,20243
20244,غاضب,انا اكره عندما تفعلون ذالك,في متجر كان البائع يكذب بشأن أسعار السلع التي كان يبيعها.,20244
20245,غاضب,ربما هذا هو الأفضل,أنا أيضا. لاحظت بطاقات الأسعار. غادرت ولن أعود إلى هناك مرة أخرى.,20245
20246,قلق,أنا أيضًا أكره القيادة فيه. من الصعب رؤية الطريق في وقت ما.,الطقس الممطر يجعلني متوترة. أنا أكره القيادة فيه,20246
20247,قلق,على أي حال الآن الصيف. هناك أيام أقل ممطرة.,نعم أنا أكره ذلك أيضًا,20247
20248,عاطفي,ما هي الشاحنة؟,أنا دائما أتمتع بوقت ممتع في قيادة شاحنتي القديمة.,20248
20249,عاطفي,أوه ، هذا قديم ، سعيد لأنه ما زال يعمل!,إنها شيفروليه عام 1968.,20249
20250,فخور,هل لديك أي رهان نقدي على اللعبة؟,أنا فخور بالنسور لفوزهم بالكرة الرائعة التي جعلوني سعيدًا جدًا,20250
20251,فخور,حسنًا ، قصدته بشكل خاص.,لم أكن دولتي حقا لا تراهن من هذا القبيل,20251
20252,مندهش,رائع! هل فعلت شيئًا مميزًا أثناء وجودها هناك؟,لقد علقت في السفر للعمل بعيدًا عن المنزل خلال الأسابيع القليلة الماضية. كانت عطلة نهاية الأسبوع الماضية هي عيد ميلادي الذي لم أكن أتطلع لقضاءه بمفردي. ولكن لدهشتي ، سارت صديقتي طوال الليل لتقضيها معي!,20252
20253,مندهش,لطيف! أتمنى أن تشعر بتحسن!,لم نتسكع مع بعضنا البعض. لقد رأينا فيلمًا أيضًا.,20253
20254,عاطفي,نعم أفهم! الحياة أسهل كطفل.,اشتقت لكوني طفلا. شاهدت برنامجًا تلفزيونيًا اليوم جعلني أفكر في ذلك,20254
20255,عاطفي,نفس الشيء في بعض الأحيان لكني أستمتع بالحرية والاستقلال لكوني بالغًا.,لقد كان حقا افتقدته,20255
20256,خائب الامل,اعتدت أن أحب أولئك الذين لم أكن أعرف أنهم توقفوا عن البيع ، هل يمكنك شراء شيء آخر مثل نظام الألعاب المختلفة؟,أنا منزعج من Nintendo مؤخرًا لم يكن لديهم مباشرة منذ فترة,20256
20257,خائب الامل,لقد قلت إنهم لم يكن لديهم مباشرة في فترة ما ، هل تقصد مثل لعبة مباشرة تخرج إم لا لعبة رائعة للعصر الجديد.,ماذا تقصد بذلك؟,20257
20258,خائب الامل,لقد قلت إنهم لم يكن لديهم مباشرة في فترة ما ، هل تقصد مثل لعبة مباشرة تخرج إم لا لعبة رائعة للعصر الجديد.,ماذا تقصد بذلك؟,20258
20259,مذعور,مثل في الواقع تعرض للاعتداء أو السرقة؟,في الحديقة تعرضت للهجوم من قبل مجموعة من الشباب المراهقين. ما زلت مصدومة.,20259
20260,مذعور,أوه ، أنا آسف جدًا لسماع أنني أتمنى أن تشعر بخير الآن,تعرضت للاعتداء والسرقة. لم أرغب في إعطاء محفظتي وهاتفي.,20260
20261,فرح,انه رائع. منذ متى وأنت تلعب هذه اللعبة؟,أنا منضخ للغاية من أجل Super Smash Bros الجديد الذي يبدو مذهلاً!,20261
20262,فرح,لقد لعبت الكثير من ألعاب الفيديو عندما كنت طفلاً. اعجبني ذلك كثيرا,منذ أن لعب Brawl القليل من المشاجرة عندما كان طفلاً أيضًا,20262
20263,مندهش,أن تكون متواضعا هو السبيل إلى أن تكون,أنت تعلم أنني أشعر أن الله في الواقع جيد بالنسبة لي على الرغم من أنني أشتكي أحيانًا أو أشعر وكأنني لا أستحق ذلك.,20263
20264,مندهش,هذا تفكير حكيم للغاية,"نعم ، لقد أدركت مؤخرًا الفرق بين ""التواضع الحقيقي"" و ""التواضع الزائف"".",20264
20265,المحتوى,أوه هذا يبدو لطيفا. ما الرسوم الهزلية التي كنت تقرأها؟,كنت أجلس في الفناء طوال عطلة نهاية الأسبوع وأقرأ القصص المصورة. كانت مهدئة,20265
20266,المحتوى,رائع. أنا أحب القصص المصورة لكنني لست من محبي باتمان أو Justice League حقًا.,إنهم باتمان ودوري العدالة,20266
20267,غيور,لكل شخص نقاط قوته وضعفه. هل كنت حتى مهتمًا بألعاب القوى؟,أشعر بالغيرة من زملائي في العمل فهم أذكياء ورياضيون للغاية,20267
20268,غيور,أنا متأكد من أن هناك بعض الأشياء التي تتمتع بموهبة أكبر أيضًا.,أنا هو موهوب أكثر مني,20268
20269,حنين,أجل ، أعرف ما تعنيه أن تلك الأيام كانت الأفضل,كنت أشاهد ابنة أخي في ذلك اليوم ورأيتها وهي تلعب جعلتني أفتقد أيام شبابي أيضًا.,20269
20270,حنين,نعم بالضبط أعتقدت مرة أخرى في تلك الأيام باعتزاز شديد,كنت أتمنى لو كان لدي آلة وقت في بعض الأحيان. كان أسهل بكثير في ذلك الوقت دون كل مسؤولية بالطبع.,20270
20271,بهيجة,جميل متى تخرج اللعبة الجديدة؟ أم أنها بالفعل خارج هاها,أنا سعيد جدًا بالطريقة التي تبدو بها لعبة Super Smash Bros الجديدة تبدو رائعة بالنسبة لي,20271
20272,بهيجة,لا أعرف الكثير عن ألعاب الفيديو ولكن أتذكر لعب ماريو والألعاب على Nintendo 64.,سيصدر في ديسمبر يعرضون أشياء عنه مثل البارحة,20272
20273,متخوف,انا اسف لسماع ذلك. ما الذي كنت قلقًا بشأنه؟,بالأمس كنت قلقة للغاية,20273
20274,متخوف,هل كانت بخير,عادت أمي إلى المنزل متأخرة. صليت حتى أتت!,20274
20275,بالإحراج,أوه أشعر بالأسف من أجلك. يحدث ذلك.,كان علي أن أقدم عرضًا تقديميًا كبيرًا في العمل اليوم. لقد استعدت بجد لذلك. عندما حان وقت تقديم Unfortunatley ، شعرت بالتوتر الشديد وتجمدت تمامًا.,20275
20276,بالإحراج,ستكون بخير. ابذل قصارى جهدك في المرة القادمة!,للأسف نعم ... لا أعرف كيف سأتجاوز الأمر بالرغم من ذلك.,20276
20277,الآن,آسف لسماع ذلك ماذا تفعل لمحاولة البقاء مستنيرًا وسعيدًا عند التفكير فيهم؟,أشعر بالحزن عندما أفكر في والدي. لقد ذهبوا منذ بضع سنوات حتى الآن,20277
20278,الآن,أعلم أن الأمر قد يكون صعبًا ، لكنهم دائمًا ما يكونون قريبين منك عند التفكير فيهم من خلال ذكرياتك والأوقات الجيدة.,أنا فقط لدي ذكريات أعتقد,20278
20279,توقع,آه لطيف! زوجي من خريجي جامعة أركانسا! نحن ندعم فريق كرة القدم.,لا استطيع الانتظار حتى الشهر المقبل. تبدأ كرة القدم الجامعية,20279
20280,توقع,نعم ما هو الفريق الذي يعجبك؟,أنا على دراية بهم هكتار,20280
20281,فرح,ماذا يخرج؟,أنا متحمس جدًا لجميع الألعاب الجيدة التي ستصدر هذا العام!,20281
20282,فرح,هناك الكثير من البوكيمون هذه الأيام,سوبر سماش بروز بوكيمون وماريو بارتي!,20282
20283,معد,أنا آسف لأنك تمر بذلك,لدي بعض المشاكل المالية. أنا أبيع كل شيء تقريبًا قبل أن يأتي المحضر.,20283
20284,معد,أعتقد أنه عليك أن تفعل ما عليك القيام به,أنا أعرف. سوف يفاجأ عندما يرى الشقة فارغة تقريبًا.,20284
20285,دمر,إنه لمن المحزن دائمًا أن يبتعد أحد أشقائنا. لماذا يبتعد؟,كنت حزينًا عندما ابتعد أخي. كنت سأفتقده,20285
20286,دمر,هذا جيد بالنسبة له. لا يزال بإمكانك زيارته.,حصل على وظيفة أفضل,20286
20287,مندهش,أوه هذا رائع. خذ بعض دروس القيادة وستكون بخير!,فاجأني والداي عندما أعطاني سيارة من أجل هدية التخرج لم أكن مستعدًا لها على الإطلاق,20287
20288,مندهش,هذا جيد! أنا سعيد من أجلك. أتمنى أن يكون لدي سيارة جديدة!,لقد كنت أقود في الكلية بضع سنوات الآن فقط في حاجة إلى سيارة جديدة!,20288
20289,فرح,كيف أن يذهب؟,ذهبنا إلى مسابقات رعاة البقر الشهر الماضي,20289
20290,فرح,جيد ، لم أذهب إلى أحد على الإطلاق!,لقد كانت تجربة مثيرة للغاية واستمتعت كثيرًا!,20290
20291,توقع,إلى أين؟,لا استطيع الانتظار حتى الاسبوع المقبل. نحن ذاهبون في رحلة,20291
